alpha  cl  cd  cm
-6.000  -0.3448   0.00973  -0.0638
-5.500  -0.2880   0.00962  -0.0633
-5.000  -0.2310   0.00952  -0.0628
-4.500  -0.1737   0.00945  -0.0624
-4.000  -0.1164   0.00941  -0.0620
-3.500  -0.0590   0.00938  -0.0616
-3.000  -0.0017   0.00934  -0.0612
-2.500   0.0555   0.00929  -0.0608
-2.000   0.1128   0.00926  -0.0605
-1.500   0.1702   0.00926  -0.0601
-1.000   0.2274   0.00928  -0.0598
-0.500   0.2845   0.00931  -0.0594
0.000   0.3416   0.00933  -0.0591
0.500   0.3983   0.00938  -0.0587
1.000   0.4552   0.00943  -0.0584
1.500   0.5117   0.00950  -0.0580
2.000   0.5681   0.00958  -0.0576
2.500   0.6242   0.00963  -0.0572
3.000   0.6798   0.00969  -0.0568
3.500   0.7349   0.00972  -0.0563
4.000   0.7893   0.00973  -0.0558
4.500   0.8422   0.00968  -0.0549
5.000   0.8899   0.00948  -0.0528
6.000   1.0154   0.00998  -0.0550
6.500   1.0678   0.01033  -0.0542
7.000   1.1197   0.01071  -0.0533
7.500   1.1711   0.01112  -0.0523
8.000   1.2218   0.01156  -0.0513
8.500   1.2717   0.01203  -0.0502
9.000   1.3205   0.01253  -0.0490
9.500   1.3680   0.01307  -0.0476
10.000   1.4138   0.01366  -0.0461
10.500   1.4571   0.01432  -0.0442
11.000   1.4975   0.01500  -0.0419
12.000   1.5622   0.01667  -0.0351
12.500   1.5897   0.01781  -0.0316
13.000   1.6174   0.01906  -0.0287
13.500   1.6330   0.02121  -0.0254
14.000   1.6479   0.02380  -0.0231
14.500   1.6583   0.02713  -0.0214
15.000   1.6542   0.03209  -0.0203
15.500   1.6572   0.03677  -0.0199
16.000   1.6370   0.04405  -0.0201
17.000   1.5820   0.06176  -0.0232
17.500   1.5336   0.07418  -0.0267
18.000   1.4992   0.08544  -0.0305
18.500   1.4857   0.09413  -0.0335
19.000   1.4231   0.11043  -0.0404
20.000   1.3755   0.13228  -0.0511
20.500   1.3733   0.13983  -0.0552
21.000   1.3666   0.14812  -0.0601
21.500   1.3511   0.15794  -0.0662
22.000   1.3518   0.16495  -0.0708
22.500   1.3552   0.17142  -0.0752
23.000   1.3490   0.17959  -0.0810
23.500   1.3327   0.18963  -0.0884
24.000   1.3365   0.19593  -0.0933
24.500   1.3321   0.20378  -0.0995
25.000   1.3394   0.20933  -0.1041
25.500   1.3251   0.21914  -0.1120
26.000   1.3285   0.22538  -0.1174
